https://docs.google.com/spreadsheets/d/1WKfDrVcWOskZSHPhmuD6yrZ6Npr1AynOsBh7UwELvBg/edit?gid=61091455#gid=61091455,Property,Occupied ,Collections %,Month Outstanding,Total Outstanding,Eviction Risk,Lease Health,,,,
Karen,Maple Manor Apartments                                                                                                                                             ,92.5%,82.8%,"$5,850.15","$7,039.83",0,75.68%,,,,
Karen,Normandy Apartments,100.0%,81.2%,"$2,999.52","$3,599.27",0,68.18%,,,,
Karen,Oakwood Gardens ,84.0%,100.8%,-$389.99,-$130.48,0,71.43%,,,,
Sarah,Pioneer Apartments ,100.0%,89.5%,$825.63,"$2,468.63",1,90.00%,,,,
,,87.6%,88.3%,"$24,689.20","$41,331.56",5,80.65%,,,,
1/21/2026,,,,,,,,,,,
Sarah,,91.8%,93.3%,$271.63,"$3,539.88",3,88.27%,,,,
Karen,,86.4%,86.8%,"$19,495.51","$31,898.22",2,78.96%,,,,
Sam,,0.0%,0.0%,$0.00,$0.00,0,0.00%,,,,
Sarah,1511 Sylvan Lane                                                                                                                                                ,75.0%,90.3%,$282.50,$282.50,0,100.00%,,,,
Sarah,3909 North Oakland Gravel Road                                                                                                                                                    ,66.7%,100.0%,$0.00,$0.00,0,75.00%,,,,
Sarah,407 Pecan Street                                                                                                                                                  ,80.0%,75.2%,$725.00,"$2,310.25",1,75.00%,,,,
Sarah,801-803 Washington Avenue                                                                                                                                                      ,100.0%,92.2%,$116.62,$116.62,0,100.00%,,,,
Sarah,811 South Fairview Road                                                                                                                                                    ,100.0%,150.0%,"-$1,200.00","-$1,200.00",1,100.00%,,,,
Karen,Glen Oaks ,88.9%,76.1%,"$6,952.07","$13,156.89",1,84.38%,,,,
Karen,Hilltop Townhomes ,76.5%,83.7%,"$5,113.76","$9,582.71",1,89.74%,,,,
Karen,Maple Manor Apartments                                                                                                                                             ,92.5%,85.2%,"$5,030.15","$6,099.83",0,75.68%,,,,
Karen,Normandy Apartments,100.0%,82.4%,"$2,899.52","$3,279.27",0,68.18%,,,,
Karen,Oakwood Gardens ,84.0%,101.0%,-$499.99,-$220.48,0,71.43%,,,,
Sarah,Pioneer Apartments ,100.0%,91.6%,$347.51,"$2,030.51",1,90.00%,,,,
,,87.6%,90.7%,"$19,767.14","$35,438.10",5,80.65%,,,,
1/26/2026,,,,,,,,,,,
Sarah,,91.8%,97.9%,"-$1,401.77","$2,016.48",3,88.27%,,,,
Karen,,86.4%,90.5%,"$13,375.96","$26,551.42",2,78.96%,,,,
Sam,,0.0%,0.0%,$0.00,$0.00,0,0.00%,,,,
Sarah,1511 Sylvan Lane                                                                                                                                                ,75.0%,100.0%,$0.75,$0.75,0,100.00%,,,,
Sarah,3909 North Oakland Gravel Road                                                                                                                                                    ,66.7%,100.0%,$0.00,$0.00,0,75.00%,,,,
Sarah,407 Pecan Street                                                                                                                                                  ,80.0%,75.2%,$725.00,"$2,360.25",1,75.00%,,,,
Sarah,801-803 Washington Avenue                                                                                                                                                      ,100.0%,101.3%,-$10.99,-$10.99,0,100.00%,,,,
Sarah,811 South Fairview Road                                                                                                                                                    ,100.0%,150.0%,"-$1,200.00","-$1,200.00",1,100.00%,,,,
Karen,Glen Oaks ,88.9%,81.5%,"$5,373.32","$11,261.89",1,84.38%,,,,
Karen,Hilltop Townhomes ,76.5%,83.6%,"$5,133.76","$9,662.71",1,89.74%,,,,
Karen,Maple Manor Apartments                                                                                                                                             ,92.5%,91.7%,"$2,813.35","$3,748.03",0,75.68%,,,,
Karen,Normandy Apartments,100.0%,91.5%,"$1,289.52","$1,689.27",0,68.18%,,,,
Karen,Oakwood Gardens ,84.0%,102.5%,"-$1,233.99",$189.52,0,71.43%,,,,
Sarah,Pioneer Apartments ,100.0%,97.2%,-$916.53,$866.47,1,90.00%,,,,
,,87.6%,94.3%,"$11,974.19","$28,567.90",5,80.65%,,,,
